ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,label,subject
-56.0,7.0,32.0,-19.96,0.317521,31.75,4,S14
53.0,23.0,25.0,-24.85,0.421825,35.79,1,S2
-60.0,-25.0,-5.0,3.53,1.052345,33.23,1,S3
-42.0,-46.0,0.0,-26.89,0.281702,32.27,1,S14
-44.0,19.0,43.0,31.05,0.172955,32.75,3,S4
-18.0,-7.0,-62.0,-9.78,0.11923,33.05,1,S4
-19.0,61.0,12.0,-4.79,0.321359,31.99,3,S14
-48.0,-38.0,-18.0,-18.89,0.337989,32.66,2,S14
57.0,23.0,17.0,9.46,0.341101,35.89,1,S2
62.0,0.0,12.0,9.44,0.165559,34.55,4,S2
-56.0,-34.0,-3.0,-18.42,3.0555,32.83,1,S3
58.0,22.0,17.0,10.78,0.279597,33.66,4,S2
-44.0,-28.0,-39.0,-37.32,0.286819,32.15,1,S14
-18.0,-8.0,-61.0,-13.66,0.120509,33.07,1,S4
57.0,23.0,17.0,-31.22,0.170684,34.33,4,S2
17.0,-60.0,15.0,28.03,1.106125,32.91,2,S2
-29.0,57.0,11.0,-1.39,2.078342,31.95,2,S3
-24.0,-59.0,-7.0,-0.74,0.270188,32.29,1,S14
-18.0,61.0,6.0,5.18,0.313683,31.99,3,S14
-43.0,-34.0,-35.0,29.97,0.279143,32.13,1,S14
-56.0,8.0,32.0,12.42,0.316242,31.73,4,S14
-44.0,-44.0,13.0,7.6,0.304728,33.11,2,S14
-50.0,-42.0,0.0,63.69,0.277864,32.07,1,S14
-65.0,-2.0,-2.0,-55.53,0.155047,32.91,4,S4
14.0,-58.0,17.0,-12.74,0.71525,33.61,2,S2
-31.0,57.0,12.0,-2.92,0.521737,32.55,2,S3
-38.0,-7.0,-53.0,42.08,0.312404,32.11,1,S14
-64.0,-3.0,11.0,-29.16,0.334151,33.16,2,S14
-54.0,4.0,35.0,-9.94,0.312404,32.47,4,S14
19.0,-58.0,16.0,28.31,0.726782,34.07,2,S2
42.0,13.0,-45.0,16.06,0.116868,35.83,1,S2
57.0,23.0,17.0,-53.96,0.178372,33.95,4,S2
-18.0,61.0,16.0,-83.99,2.201572,32.66,2,S4
-44.0,19.0,43.0,-117.18,0.174234,32.75,3,S4
-19.0,-6.0,-62.0,20.75,0.121788,33.07,1,S4
-35.0,-6.0,-55.0,25.78,0.114113,33.09,1,S4
-61.0,2.0,20.0,6.54,0.188305,31.43,4,S4
10.0,-57.0,25.0,-32.04,0.594838,33.21,1,S3
16.0,-59.0,14.0,7.65,0.997212,33.18,2,S2
-56.0,8.0,32.0,10.96,0.307287,31.61,4,S14
-65.0,-2.0,-2.0,22.44,0.157605,32.89,4,S4
-54.0,-7.0,35.0,10.69,3.901047,32.65,1,S3
55.0,3.0,32.0,25.1,0.366728,35.89,1,S2
43.0,14.0,-45.0,10.02,0.115587,35.81,1,S2
-64.0,14.0,-4.0,9.54,0.443581,30.63,4,S3
-54.0,4.0,35.0,9.99,0.313683,32.5,4,S14
-65.0,0.0,-5.0,34.31,0.14993,32.73,4,S4
-22.0,55.0,4.0,39.87,2.508574,32.5,2,S4
-24.0,-59.0,-7.0,26.27,0.266351,32.25,1,S14
-30.0,61.0,3.0,26.34,2.92589,32.53,2,S4
19.0,-65.0,12.0,-11.29,0.640932,33.77,2,S2
-64.0,-6.0,-13.0,-33.09,0.190863,32.84,1,S4
19.0,-62.0,19.0,14.79,1.040777,32.93,2,S2
-67.0,-4.0,3.0,-117.16,1.511233,32.87,1,S3
-45.0,-42.0,-17.0,-12.43,0.281702,32.25,1,S14
57.0,23.0,17.0,4.28,0.252689,33.61,4,S2
-22.0,56.0,8.0,14.95,1.766003,32.55,2,S3
-33.0,-8.0,-54.0,44.17,0.140976,32.89,1,S4
-56.0,-12.0,22.0,-28.47,0.393612,31.09,4,S3
-31.0,-55.0,8.0,16.36,0.268909,32.21,1,S14
-40.0,-48.0,-2.0,-8.34,0.345664,32.79,2,S14
54.0,11.0,-30.0,-22.24,0.145057,35.91,1,S2
-19.0,60.0,12.0,-5.99,2.17343,32.29,2,S4
-61.0,-3.0,22.0,-8.46,1.306033,32.83,1,S3
49.0,20.0,-35.0,-0.91,0.100211,35.68,1,S2
-54.0,-36.0,-3.0,7.38,2.039905,32.84,1,S3
-28.0,57.0,12.0,4.46,4.909819,32.43,2,S3
61.0,-3.0,15.0,-4.01,0.155308,35.53,1,S2
54.0,24.0,22.0,16.51,0.14762,35.91,1,S2
-50.0,-4.0,40.0,4.48,0.393612,30.77,3,S3
-54.0,8.0,34.0,-12.2,0.321359,32.37,4,S14
-51.0,31.0,22.0,57.17,0.152488,32.73,4,S4
-33.0,-8.0,-55.0,-36.32,0.108996,33.09,1,S4
-65.0,-1.0,2.0,19.66,0.276585,32.27,1,S14
4.0,-53.0,32.0,6.27,0.400018,30.91,3,S3
-57.0,-11.0,-29.0,-0.35,4.548505,32.37,2,S3
-22.0,-56.0,16.0,-89.98,0.920276,33.27,1,S3
-32.0,-8.0,-56.0,-8.81,0.120509,33.11,1,S4
-55.0,-4.0,35.0,-51.32,6.394797,32.63,1,S3
16.0,-58.0,17.0,41.02,0.185747,31.45,4,S4
-16.0,62.0,7.0,-5.0,0.322638,31.97,3,S14
-46.0,45.0,9.0,1.57,0.334674,30.87,4,S3
-42.0,-2.0,48.0,1.29,0.393612,33.15,1,S3
-50.0,7.0,40.0,7.14,0.598682,33.29,1,S3
-31.0,56.0,8.0,1.17,2.638653,32.07,2,S3
-25.0,-12.0,-59.0,38.72,0.126905,32.93,1,S4
-64.0,13.0,-5.0,3.63,0.457675,30.61,4,S3
-41.0,1.0,28.0,-63.72,0.175513,31.43,4,S4
-51.0,-40.0,-21.0,-52.59,0.341827,32.65,2,S14
-15.0,63.0,5.0,73.97,0.3188,31.93,3,S14
-33.0,55.0,13.0,5.09,2.464,32.05,2,S3
-61.0,-20.0,-8.0,6.97,0.721682,33.43,1,S3
-27.0,-56.0,12.0,-57.56,0.266351,32.07,1,S14
-29.0,56.0,12.0,19.37,3.421859,32.47,2,S3
15.0,-60.0,15.0,-39.54,0.952365,33.27,2,S2
57.0,23.0,17.0,-5.96,0.20528,33.65,4,S2
-31.0,-55.0,10.0,-12.6,0.270188,32.18,1,S14
-39.0,-50.0,2.0,30.32,0.291936,32.18,1,S14
-23.0,-9.0,-58.0,-20.24,0.126905,32.97,1,S4
-39.0,51.0,11.0,14.59,0.309845,31.75,3,S14
-54.0,4.0,36.0,9.67,0.311125,32.5,4,S14
-31.0,56.0,9.0,8.31,2.720653,32.07,2,S3
-14.0,57.0,12.0,38.98,2.013534,32.71,2,S4
21.0,-52.0,27.0,15.82,0.570494,33.18,1,S3
53.0,25.0,26.0,-14.4,0.742227,35.71,1,S2
57.0,23.0,17.0,16.84,0.188623,33.73,4,S2
-49.0,2.0,42.0,32.16,0.16528,32.84,3,S4
-14.0,62.0,6.0,4.89,2.517529,32.45,2,S4
-21.0,-5.0,-61.0,-20.08,0.120509,33.09,1,S4
-49.0,-39.0,-16.0,-47.83,0.289377,32.15,1,S14
-31.0,56.0,6.0,2.72,1.913546,31.95,2,S3
54.0,25.0,20.0,7.76,0.476922,35.79,1,S2
-50.0,-5.0,-42.0,6.4,3.935354,32.39,2,S3
43.0,13.0,-44.0,14.52,0.115587,35.75,1,S2
-19.0,60.0,12.0,1.6,0.314962,31.99,3,S14
15.0,-60.0,14.0,11.19,1.05359,33.03,2,S2
-65.0,0.0,-6.0,-14.04,0.152488,32.73,4,S4
63.0,1.0,11.0,-16.04,0.195029,34.18,4,S2
-53.0,5.0,36.0,-13.27,0.321359,32.45,4,S14
16.0,-59.0,13.0,1.84,1.049746,33.11,2,S2
-64.0,-6.0,13.0,-42.99,2.651465,32.75,1,S3
16.0,-59.0,14.0,10.42,0.989524,33.15,2,S2
-46.0,-37.0,-26.0,5.73,0.285539,32.09,1,S14
12.0,-57.0,24.0,21.16,0.599963,33.21,1,S3
37.0,29.0,26.0,2.87,0.796043,35.68,1,S2
-61.0,-7.0,-23.0,1.9,0.19598,32.83,1,S4
-21.0,-11.0,-59.0,23.76,0.126905,32.99,1,S4
-31.0,57.0,9.0,7.77,2.739469,32.53,2,S3
-27.0,18.0,56.0,-7.51,0.990745,32.55,2,S3
-55.0,-5.0,33.0,1.33,0.383362,30.93,3,S3
62.0,1.0,11.0,12.14,0.225781,34.03,4,S2
-43.0,-44.0,13.0,-2.67,0.30217,33.09,2,S14
-16.0,62.0,5.0,-16.05,0.320079,31.95,3,S14
-57.0,-7.0,-32.0,21.29,0.106438,33.07,1,S4
-58.0,-27.0,-14.0,-6.01,1.021594,33.25,1,S3
-54.0,4.0,36.0,23.11,0.313683,32.5,4,S14
-65.0,-2.0,-2.0,-14.09,0.160163,32.87,4,S4
-55.0,-31.0,15.0,7.85,0.364143,33.23,1,S3
-45.0,-44.0,13.0,6.52,0.304728,33.07,2,S14
-54.0,-4.0,-40.0,-3.93,4.120142,32.47,2,S3
-24.0,-59.0,-7.0,-16.06,0.265071,32.27,1,S14
-32.0,-55.0,7.0,2.68,0.272747,32.21,1,S14
-64.0,14.0,-6.0,-18.88,0.457675,30.59,4,S3
-27.0,-58.0,9.0,27.91,0.288098,32.0,1,S14
64.0,-12.0,-13.0,19.92,0.357758,35.89,1,S2
-37.0,52.0,13.0,0.32,0.316242,31.83,3,S14
-50.0,1.0,-42.0,4.98,4.552349,32.33,2,S3
-54.0,9.0,34.0,-5.5,0.320079,32.37,4,S14
-65.0,0.0,-4.0,27.61,0.152488,32.75,4,S4
-56.0,-4.0,32.0,19.19,0.385924,30.89,3,S3
-44.0,18.0,43.0,57.62,0.171676,32.77,3,S4
62.0,1.0,10.0,32.9,0.312912,34.09,4,S2
-56.0,7.0,32.0,10.72,0.317521,31.69,4,S14
-56.0,8.0,32.0,3.21,0.3188,31.69,4,S14
25.0,57.0,14.0,12.24,0.3206,34.07,3,S2
-40.0,-44.0,-25.0,-63.24,0.311125,32.11,1,S14
17.0,-59.0,12.0,13.45,0.735751,33.59,2,S2
43.0,13.0,-44.0,18.61,0.116868,35.75,1,S2
-32.0,-47.0,28.0,19.57,0.329034,33.15,2,S14
-61.0,4.0,15.0,-11.52,0.107717,33.09,1,S4
-33.0,-8.0,-55.0,-29.17,0.142255,32.91,1,S4
15.0,-62.0,13.0,-9.46,0.707562,34.07,2,S2
-32.0,-48.0,28.0,-1.94,0.330313,33.16,2,S14
41.0,13.0,-46.0,10.82,0.114305,35.93,1,S2
30.0,6.0,49.0,0.86,0.177091,35.91,1,S2
-46.0,46.0,9.0,0.21,0.328268,30.85,4,S3
-19.0,61.0,11.0,7.64,0.320079,31.99,3,S14
57.0,23.0,17.0,-48.27,0.179653,33.95,4,S2
49.0,13.0,-38.0,-37.14,0.105336,35.71,1,S2
19.0,-57.0,15.0,-66.43,0.635807,33.95,2,S2
55.0,25.0,20.0,-7.58,0.487173,35.77,1,S2
-76.0,11.0,-5.0,17.5,1.698097,32.57,2,S3
-12.0,56.0,13.0,49.98,2.114588,32.34,2,S4
-41.0,-50.0,-7.0,-113.64,0.288098,32.09,1,S14
-44.0,18.0,43.0,-127.98,0.179351,32.77,3,S4
57.0,23.0,17.0,-3.7,0.201436,33.66,4,S2
54.0,25.0,20.0,5.37,0.102773,35.89,1,S2
-53.0,4.0,36.0,-6.77,0.316242,32.53,4,S14
-55.0,-3.0,34.0,1.34,0.416674,33.16,1,S3
25.0,58.0,14.0,16.53,0.261658,34.05,3,S2
-56.0,8.0,32.0,-17.26,0.314962,31.69,4,S14
62.0,0.0,12.0,2.98,0.146339,34.65,4,S2
54.0,11.0,-30.0,32.1,0.143776,35.91,1,S2
15.0,-60.0,14.0,5.76,1.140721,32.71,2,S2
-65.0,-2.0,1.0,-166.94,0.271468,32.29,1,S14
-54.0,4.0,36.0,25.8,0.317521,32.53,4,S14
-56.0,7.0,33.0,22.14,0.314962,31.69,4,S14
-56.0,8.0,31.0,10.39,0.312404,31.71,4,S14
-54.0,4.0,36.0,16.29,0.314962,32.55,4,S14
-38.0,-41.0,-7.0,-37.64,0.341827,32.77,2,S14
-37.0,-8.0,-53.0,31.36,0.307287,32.15,1,S14
-42.0,-2.0,48.0,4.64,0.392331,33.13,1,S3
-61.0,-6.0,22.0,47.29,1.526608,32.84,1,S3
16.0,-59.0,12.0,6.72,1.133033,32.61,2,S2
-62.0,2.0,19.0,11.3,0.192143,31.41,4,S4
-19.0,60.0,12.0,4.1,0.3188,31.89,3,S14
-29.0,57.0,8.0,4.33,1.786702,31.95,2,S3
-28.0,-41.0,-40.0,53.55,0.300891,32.15,1,S14
-64.0,14.0,-5.0,-3.42,0.443581,30.59,4,S3
21.0,11.0,58.0,14.43,0.956308,35.71,1,S2
-38.0,-57.0,2.0,-41.97,0.289377,32.16,1,S14
-64.0,7.0,-5.0,-57.57,0.181909,31.37,4,S4
-64.0,-1.0,9.0,-69.94,0.280422,32.23,1,S14
-34.0,-42.0,32.0,28.26,5.147801,32.63,1,S3
54.0,15.0,33.0,-17.19,0.547464,35.79,1,S2
-22.0,61.0,6.0,-7.68,2.472757,32.5,2,S4
-46.0,45.0,8.0,1.19,0.332112,30.85,4,S3
-55.0,-4.0,34.0,-6.76,0.435893,33.16,1,S3
16.0,-59.0,12.0,-17.97,0.621712,33.87,2,S2
-54.0,5.0,36.0,1.41,0.321359,32.45,4,S14
26.0,-50.0,26.0,6.99,0.551275,33.15,1,S3
-56.0,7.0,31.0,7.77,0.314962,31.73,4,S14
-31.0,-8.0,-55.0,23.84,0.105159,33.09,1,S4
-15.0,61.0,12.0,106.3,2.136855,32.18,2,S4
-47.0,-8.0,43.0,5.37,5.996327,32.61,1,S3
62.0,0.0,12.0,0.1,0.157871,34.63,4,S2
-25.0,59.0,1.0,-5.7,2.32949,32.47,2,S4
-59.0,-29.0,2.0,7.92,1.754671,32.81,1,S3
-29.0,57.0,10.0,-0.96,1.99378,31.97,2,S3
-55.0,-4.0,34.0,4.46,0.370549,30.95,3,S3
-26.0,-44.0,-36.0,-35.36,0.340547,32.77,2,S14
-33.0,-9.0,-55.0,-47.63,0.153767,32.87,1,S4
-27.0,61.0,2.0,1.21,2.836348,32.53,2,S4
-30.0,56.0,10.0,0.88,4.146761,32.23,2,S3
-19.0,61.0,11.0,5.79,0.317521,31.99,3,S14
-33.0,-55.0,-2.0,-11.48,0.265071,32.23,1,S14
0.0,-54.0,31.0,25.68,0.389768,30.71,3,S3
-55.0,-33.0,3.0,76.11,2.061686,32.83,1,S3
-65.0,-1.0,2.0,11.92,0.276585,32.27,1,S14
-56.0,-31.0,9.0,10.41,1.745702,32.83,1,S3
-63.0,-4.0,15.0,-30.97,0.402581,31.09,4,S3
-65.0,0.0,5.0,19.37,0.189584,31.47,4,S4
-43.0,-48.0,1.0,-56.93,0.341827,32.77,2,S14
-65.0,-2.0,-3.0,26.42,0.153767,32.91,4,S4
62.0,0.0,12.0,12.49,0.152745,34.61,4,S2
-66.0,9.0,-52.0,7.37,0.599894,32.53,2,S3
-54.0,8.0,35.0,2.97,0.314962,32.37,4,S14
49.0,12.0,-38.0,-25.43,0.104055,35.73,1,S2
-24.0,-59.0,-8.0,26.5,0.271468,32.29,1,S14
-31.0,55.0,8.0,4.57,4.744537,32.27,2,S3
-41.0,-34.0,-35.0,16.03,0.276585,32.09,1,S14
17.0,-59.0,13.0,4.45,1.001055,33.25,2,S2
-63.0,1.0,17.0,19.59,0.181909,31.45,4,S4
-50.0,7.0,40.0,-8.22,0.601244,33.27,1,S3
-43.0,-44.0,17.0,11.26,0.317521,33.03,2,S14
15.0,-61.0,14.0,-19.83,1.161222,32.91,2,S2
-16.0,-8.0,-61.0,35.01,0.120509,33.07,1,S4
-16.0,61.0,13.0,-44.81,2.179067,32.21,2,S4
-21.0,60.0,9.0,0.89,2.257856,32.68,2,S4
-28.0,-8.0,-59.0,13.4,0.160163,32.91,1,S4
-43.0,-52.0,-40.0,-88.16,0.341827,32.79,2,S14
-27.0,-56.0,13.0,-8.38,0.268909,32.07,1,S14
-20.0,60.0,15.0,-29.88,2.586909,32.39,2,S4
-44.0,19.0,43.0,84.31,0.171676,32.77,3,S4
-64.0,14.0,-6.0,-7.4,0.45255,30.61,4,S3
-18.0,-7.0,-61.0,91.89,0.128184,32.93,1,S4
-54.0,-4.0,35.0,4.77,0.407706,33.13,1,S3
-24.0,-58.0,12.0,-46.2,0.286819,32.03,1,S14
-32.0,-55.0,4.0,22.75,0.276585,32.23,1,S14
-37.0,23.0,-8.0,-19.65,3.879266,32.43,2,S3
62.0,0.0,12.0,-11.01,0.145057,34.73,4,S2
50.0,31.0,24.0,13.64,0.380822,35.84,1,S2
-54.0,-4.0,35.0,4.75,0.407706,33.16,1,S3
-20.0,-6.0,-61.0,-43.47,0.121788,33.09,1,S4
-18.0,62.0,7.0,55.72,2.546949,32.43,2,S4
-55.0,-31.0,14.0,8.16,0.365424,33.23,1,S3
-54.0,4.0,36.0,0.14,0.317521,32.53,4,S14
-54.0,-5.0,34.0,6.55,0.371831,30.95,3,S3
-24.0,-12.0,-59.0,26.4,0.126905,32.97,1,S4
-49.0,-30.0,-2.0,1.68,0.337989,32.75,2,S14
22.0,-52.0,27.0,-16.45,0.583306,33.16,1,S3
-56.0,-15.0,-34.0,-21.22,0.33543,32.65,2,S14
56.0,23.0,17.0,12.11,0.177091,34.11,4,S2
54.0,23.0,25.0,-6.33,0.423106,35.81,1,S2
-42.0,-1.0,48.0,-6.14,0.369268,33.16,1,S3
-65.0,0.0,6.0,-28.26,0.187026,31.45,4,S4
-29.0,55.0,11.0,-0.47,4.027604,32.21,2,S3
77.0,29.0,34.0,181.74,0.556434,35.87,1,S2
26.0,-56.0,12.0,42.85,0.651183,34.0,2,S2
49.0,12.0,-38.0,51.38,0.101492,35.66,1,S2
58.0,17.0,18.0,-3.9,0.16684,35.91,1,S2
7.0,-53.0,32.0,34.53,0.362862,30.85,3,S3
-36.0,-52.0,10.0,17.19,2.328187,32.65,1,S3
-17.0,64.0,1.0,18.15,2.189301,32.18,2,S4
-30.0,-8.0,-57.0,-30.69,0.157605,32.89,1,S4
17.0,-59.0,17.0,-11.98,1.085623,33.25,2,S2
-65.0,0.0,6.0,12.44,0.185747,31.47,4,S4
-44.0,-45.0,-14.0,-11.57,0.291936,32.18,1,S14
-64.0,14.0,-5.0,-13.07,0.439737,30.63,4,S3
68.0,15.0,8.0,-74.87,0.29241,35.79,1,S2
-47.0,45.0,5.0,1.12,0.329549,30.85,4,S3
-17.0,-7.0,-61.0,24.3,0.120509,33.07,1,S4
56.0,23.0,17.0,-8.06,0.182216,33.81,4,S2
-33.0,-9.0,-56.0,29.49,0.18063,32.89,1,S4
-37.0,-51.0,9.0,-44.79,0.271468,32.27,1,S14
57.0,23.0,16.0,22.07,0.206561,33.65,4,S2
-40.0,57.0,3.0,25.05,0.613988,32.55,2,S3
20.0,-59.0,16.0,-295.5,0.790848,34.07,2,S2
-19.0,61.0,10.0,166.87,2.129939,32.31,2,S4
47.0,-51.0,-13.0,-53.02,0.56149,33.81,2,S2
32.0,-51.0,17.0,18.75,0.548713,33.16,1,S3
-46.0,45.0,9.0,-0.76,0.333393,30.83,4,S3
58.0,24.0,-2.0,19.78,0.093804,35.61,1,S2
57.0,17.0,20.0,-13.88,0.21553,35.77,1,S2
57.0,23.0,17.0,3.19,0.171965,34.33,4,S2
-55.0,10.0,32.0,15.96,0.321359,31.67,4,S14
-12.0,-49.0,-40.0,5.59,0.114113,33.05,1,S4
-19.0,60.0,12.0,-4.85,0.320079,31.97,3,S14
-33.0,-55.0,-1.0,9.22,0.259954,32.25,1,S14
-33.0,-6.0,-55.0,-53.98,0.110275,33.11,1,S4
-22.0,59.0,8.0,-35.21,2.755455,32.45,2,S4
-24.0,-59.0,-8.0,-29.65,0.271468,32.29,1,S14
-52.0,27.0,31.0,9.19,7.084807,32.63,1,S3
-24.0,59.0,7.0,17.71,2.673893,32.65,2,S4
56.0,23.0,17.0,-8.61,0.209124,33.63,4,S2
-33.0,-6.0,-55.0,-63.54,0.114113,33.11,1,S4
-25.0,59.0,6.0,-13.28,2.887515,32.53,2,S4
-19.0,61.0,11.0,12.0,0.320079,31.99,3,S14
-51.0,18.0,35.0,-108.02,0.174234,32.79,3,S4
-49.0,-2.0,42.0,-1.75,0.403862,30.71,3,S3
-32.0,55.0,10.0,-2.91,3.234875,32.15,2,S3
-35.0,-9.0,-54.0,34.34,0.147372,32.91,1,S4
15.0,-59.0,14.0,-9.3,1.104843,32.95,2,S2
-57.0,21.0,-31.0,-20.79,5.527052,32.29,2,S3
-36.0,-53.0,-3.0,42.65,0.304728,32.09,1,S14
-18.0,-4.0,-61.0,-28.57,0.123067,33.07,1,S4
-53.0,5.0,36.0,12.12,0.321359,32.43,4,S14
-65.0,-1.0,11.0,-35.43,0.334151,33.21,2,S14
-65.0,0.0,6.0,17.31,0.188305,31.49,4,S4
57.0,22.0,17.0,-7.32,0.270628,33.65,4,S2
-65.0,-1.0,8.0,-18.05,0.193422,31.47,4,S4
-32.0,-48.0,28.0,1.23,0.331593,33.16,2,S14
6.0,-54.0,31.0,-20.31,0.406424,30.89,3,S3
-18.0,60.0,11.0,10.89,0.3188,31.91,3,S14
60.0,0.0,-19.0,8.86,0.150183,34.09,3,S2
-55.0,-31.0,14.0,0.04,0.365424,33.23,1,S3
-52.0,1.0,38.0,10.14,1.179189,32.99,1,S3
40.0,36.0,33.0,-12.24,0.532088,35.83,1,S2
-65.0,-3.0,-2.0,-38.76,0.152488,32.93,4,S4
-37.0,-38.0,-37.0,-12.83,0.288098,32.16,1,S14
-54.0,-5.0,34.0,5.78,0.383362,30.91,3,S3
-26.0,54.0,25.0,3.54,5.00335,32.29,2,S3
-56.0,8.0,31.0,1.36,0.311125,31.59,4,S14
-57.0,-4.0,31.0,-23.22,2.463121,32.71,1,S3
15.0,-59.0,15.0,-5.53,0.64862,34.03,2,S2
-22.0,-13.0,-59.0,-114.33,0.126905,32.97,1,S4
-32.0,-54.0,9.0,-17.36,0.277864,32.21,1,S14
-51.0,15.0,36.0,-58.6,0.171676,32.77,3,S4
-49.0,1.0,42.0,-117.13,0.167838,32.84,3,S4
-65.0,-2.0,-2.0,-19.94,0.155047,32.91,4,S4
-23.0,62.0,10.0,-193.21,2.673588,32.43,2,S4
-25.0,-59.0,-8.0,29.28,0.26763,32.29,1,S14
63.0,0.0,-5.0,5.47,0.207842,34.16,3,S2
-21.0,-11.0,-59.0,24.32,0.125626,32.99,1,S4
-55.0,-33.0,-10.0,27.19,0.291936,32.18,1,S14
-33.0,-8.0,-55.0,-65.63,0.135859,32.93,1,S4
61.0,0.0,-13.0,-8.34,0.187341,34.18,3,S2
-44.0,18.0,43.0,35.6,0.171676,32.75,3,S4
-48.0,2.0,42.0,35.92,0.166559,32.84,3,S4
55.0,11.0,-30.0,0.06,0.142495,35.93,1,S2
-44.0,-45.0,-1.0,-51.74,0.304728,32.11,1,S14
-52.0,-43.0,-29.0,-77.86,0.33543,32.63,2,S14
32.0,7.0,-46.0,20.34,0.154027,35.91,1,S2
63.0,1.0,-19.0,-12.73,0.129681,34.09,3,S2
57.0,23.0,17.0,30.54,0.18606,33.75,4,S2
-19.0,60.0,12.0,-14.68,0.321359,31.95,3,S14
-34.0,-9.0,-54.0,25.21,0.148651,32.91,1,S4
-35.0,-9.0,-54.0,-68.72,0.105159,33.09,1,S4
-54.0,4.0,36.0,-29.92,0.312404,32.5,4,S14
-29.0,-8.0,-57.0,-64.69,0.156326,32.89,1,S4
-42.0,8.0,48.0,12.27,0.558963,33.23,1,S3
-16.0,64.0,9.0,-153.82,2.147847,32.33,2,S4
-57.0,-8.0,23.0,-55.2,0.387206,31.09,4,S3
18.0,-59.0,15.0,24.02,0.756252,34.09,2,S2
15.0,-60.0,14.0,22.74,1.027964,33.09,2,S2
-50.0,-5.0,40.0,7.31,0.388487,30.77,3,S3
-44.0,-44.0,15.0,-20.61,0.314962,33.05,2,S14
45.0,33.0,32.0,-58.8,0.498774,35.83,1,S2
-56.0,7.0,32.0,12.58,0.321359,31.69,4,S14
-54.0,-31.0,14.0,11.87,0.362862,33.25,1,S3
-32.0,-7.0,-56.0,8.19,0.121788,33.07,1,S4
30.0,17.0,50.0,15.81,0.309068,35.83,1,S2
-48.0,3.0,42.0,30.61,0.167838,32.84,3,S4
15.0,-59.0,14.0,-10.66,1.022838,33.37,2,S2
-63.0,2.0,18.0,-8.83,0.184468,31.43,4,S4
62.0,0.0,11.0,11.68,0.259096,33.99,4,S2
-55.0,-3.0,34.0,-0.03,0.411549,33.15,1,S3
-56.0,7.0,31.0,-4.79,0.309845,31.63,4,S14
-47.0,-4.0,43.0,-23.32,0.410268,30.85,3,S3
63.0,-1.0,2.0,-18.79,0.129681,35.55,1,S2
1.0,-58.0,24.0,62.36,1.021495,33.25,1,S3
-30.0,57.0,9.0,1.64,2.293593,31.97,2,S3
42.0,13.0,-45.0,18.87,0.115587,35.87,1,S2
58.0,19.0,19.0,-16.46,0.257814,35.79,1,S2
-64.0,13.0,-5.0,10.5,0.444862,30.65,4,S3
16.0,-59.0,13.0,5.42,1.13047,32.66,2,S2
-49.0,42.0,-3.0,0.09,1.594514,31.89,2,S3
-64.0,14.0,-4.0,9.56,0.441018,30.65,4,S3
61.0,0.0,12.0,-4.39,0.162996,34.59,4,S2
-32.0,-8.0,-55.0,-68.87,0.162722,32.91,1,S4
-18.0,61.0,11.0,-16.68,0.3188,31.87,3,S14
-30.0,-8.0,-57.0,38.96,0.157605,32.89,1,S4
3.0,-54.0,31.0,4.33,0.410268,30.87,3,S3
21.0,-56.0,14.0,36.01,0.733188,33.63,2,S2
62.0,0.0,11.0,2.36,0.238594,33.97,4,S2
-19.0,-7.0,-62.0,23.62,0.115392,33.03,1,S4
-64.0,-5.0,12.0,25.18,0.280422,32.25,1,S14
-45.0,-7.0,45.0,18.84,5.499632,32.53,1,S3
-24.0,60.0,3.0,-87.9,2.801505,32.63,2,S4
-23.0,-51.0,-32.0,-146.38,0.313683,32.15,1,S14
-21.0,61.0,9.0,33.34,2.106914,32.27,2,S4
-65.0,-2.0,-2.0,41.42,0.152488,32.93,4,S4
-65.0,0.0,-4.0,33.04,0.155047,32.77,4,S4
45.0,15.0,-42.0,34.94,0.121993,35.57,1,S2
-57.0,7.0,31.0,-17.51,0.311125,31.61,4,S14
-64.0,-3.0,7.0,9.88,0.411549,31.05,4,S3
-63.0,-4.0,21.0,49.07,1.502264,32.87,1,S3
-41.0,-47.0,-7.0,-23.52,0.307287,32.23,1,S14
-41.0,-37.0,-24.0,-12.01,0.197259,32.83,1,S4
-38.0,-53.0,-2.0,-50.28,0.307287,32.09,1,S14
62.0,1.0,11.0,13.44,0.257814,33.99,4,S2
16.0,-59.0,15.0,-75.02,1.011306,33.25,2,S2
-64.0,-7.0,-13.0,30.54,0.192143,32.83,1,S4
54.0,21.0,25.0,7.46,0.297536,35.83,1,S2
-24.0,-44.0,-38.0,27.7,0.303449,32.0,1,S14
-64.0,6.0,16.0,1.22,0.372529,32.89,2,S14
-24.0,-58.0,-7.0,37.32,0.270188,32.29,1,S14
-48.0,-41.0,-15.0,0.5,0.337989,32.66,2,S14
40.0,13.0,-47.0,-0.53,0.113024,35.95,1,S2
60.0,-1.0,-19.0,16.38,0.145057,34.07,3,S2
-62.0,-3.0,17.0,18.64,0.280422,32.23,1,S14
-55.0,-4.0,34.0,-2.79,0.423081,33.15,1,S3
-33.0,-53.0,15.0,23.46,0.280422,32.25,1,S14
57.0,23.0,17.0,-25.05,0.173247,34.27,4,S2
-52.0,18.0,33.0,-48.47,0.183188,32.79,3,S4
-19.0,-4.0,-61.0,38.08,0.120509,33.07,1,S4
